taxon	sp_0000	sp_0001	sp_0002	sp_0003	sp_0004	sp_0005	sp_0006	sp_0007	sp_0008	sp_0009	sp_0010	sp_0011	sp_0012	sp_0013	sp_0014	sp_0015	sp_0016	sp_0017	sp_0018	sp_0019	sp_0020	sp_0021	sp_0022	sp_0023	sp_0024	sp_0025	sp_0026	sp_0027	sp_0028	sp_0029	sp_0030	sp_0031	sp_0032	sp_0033	sp_0034	sp_0035	sp_0036	sp_0037	sp_0038	sp_0039	sp_0040	sp_0041	sp_0042	sp_0043	sp_0044	sp_0045	sp_0046	sp_0047	sp_0048	sp_0049	sp_0050	sp_0051	sp_0052	sp_0053	sp_0054	sp_0055	sp_0056	sp_0057	sp_0058	sp_0059	sp_0060	sp_0061	sp_0062	sp_0063	sp_0064	sp_0065	sp_0066	sp_0067	sp_0068	sp_0069	sp_0070	sp_0071	sp_0072	sp_0073	sp_0074	sp_0075	sp_0076	sp_0077	sp_0078	sp_0079	sp_0080	sp_0081	sp_0082	sp_0083	sp_0084	sp_0085	sp_0086	sp_0087	sp_0088	sp_0089	sp_0090	sp_0091	sp_0092	sp_0093	sp_0094	sp_0095	sp_0096	sp_0097	sp_0098	sp_0099	sp_0100	sp_0101	sp_0102	sp_0103	sp_0104	sp_0105	sp_0106	sp_0107	sp_0108	sp_0109	sp_0110	sp_0111	sp_0112	sp_0113	sp_0114	sp_0115	sp_0116	sp_0117	sp_0118	sp_0119	sp_0120	sp_0121	sp_0122	sp_0123	sp_0124	sp_0125	sp_0126	sp_0127	sp_0128	sp_0129	sp_0130	sp_0131	sp_0132	sp_0133	sp_0134	sp_0135	sp_0136	sp_0137	sp_0138	sp_0139	sp_0140	sp_0141	sp_0142	sp_0143	sp_0144	sp_0145	sp_0146	sp_0147	sp_0148	sp_0149	sp_0150	sp_0151	sp_0152	sp_0153	sp_0154	sp_0155	sp_0156	sp_0157	sp_0158	sp_0159	sp_0160	sp_0161	sp_0162	sp_0163	sp_0164	sp_0165	sp_0166	sp_0167	sp_0168	sp_0169	sp_0170	sp_0171	sp_0172	sp_0173	sp_0174	sp_0175	sp_0176	sp_0177	sp_0178	sp_0179
sp_0028	0.374578	0.442113	0.380248	0.348627	0.367213	0.591721	0.458903	0.454184	0.503458	0.533900	0.540643	0.420272	0.492576	0.566769	0.258480	0.576192	0.391049	0.502618	0.432001	0.402012	0.357759	0.357518	0.314433	0.382202	0.569579	0.389912	0.582573	0.523257	0.000000	0.334136	0.514174	0.442821	0.274444	0.399829	0.639190	0.395782	0.524556	0.553192	0.458210	0.550454	0.457388	0.393270	0.362679	0.491033	0.323851	0.437220	0.520082	0.503046	0.496262	0.505994	0.371411	0.430574	0.293994	0.437308	0.434935	0.611832	0.476999	0.422654	0.316646	0.597050	0.601032	0.427582	0.584891	0.563225	0.398278	0.669863	0.483682	0.551464	0.453004	0.377273	0.351340	0.479061	0.543498	0.449797	0.472720	0.445118	0.406792	0.404264	0.407110	0.652901	0.574582	0.422059	0.442501	0.446026	0.531175	0.423945	0.284341	0.590494	0.501773	0.626328	0.356099	0.627721	0.600136	0.496354	0.428383	0.449128	0.399531	0.463191	0.510594	0.470388	0.580510	0.453222	0.468676	0.619874	0.477224	0.495263	0.371291	0.415333	0.543487	0.405292	0.412424	0.438604	0.574628	0.619919	0.409949	0.460976	0.591111	0.511071	0.427487	0.489778	0.482032	0.417914	0.382464	0.505580	0.578582	0.395074	0.603940	0.266723	0.432452	0.500742	0.557131	0.496419	0.524037	0.622624	0.453776	0.645036	0.485694	0.505989	0.467157	0.509375	0.523065	0.417071	0.597991	0.543850	0.379823	0.518965	0.505409	0.734257	0.537067	0.273170	0.320167	0.479414	0.536260	0.496920	0.377272	0.602868	0.555031	0.494217	0.549930	0.290356	0.614142	0.424001	0.438311	0.490945	0.336943	0.463912	0.482580	0.347404	0.490227	0.463726	0.625578	0.408638	0.414676	0.383239	0.408094	0.470573	0.505132	0.610820	0.438235	0.501351
sp_0029	0.429923	0.532451	0.396287	0.502018	0.402616	0.729642	0.485725	0.465531	0.446303	0.579981	0.571204	0.330351	0.447238	0.585460	0.458907	0.572966	0.436780	0.565216	0.539468	0.419137	0.425166	0.479783	0.483003	0.490597	0.599691	0.557176	0.616492	0.592442	0.334136	0.000000	0.436193	0.533089	0.396090	0.535793	0.588449	0.291041	0.470427	0.660233	0.542081	0.584660	0.538627	0.418950	0.503376	0.587503	0.377678	0.553190	0.616493	0.560757	0.539991	0.648176	0.479104	0.470791	0.449211	0.433848	0.490585	0.610853	0.526056	0.357545	0.432766	0.610876	0.463966	0.413189	0.663676	0.478719	0.478657	0.668103	0.604441	0.607857	0.506011	0.359616	0.524549	0.640987	0.566795	0.405985	0.485473	0.315001	0.514591	0.376467	0.417410	0.528627	0.612976	0.559183	0.535331	0.510840	0.472245	0.546466	0.392593	0.589851	0.590288	0.594138	0.330269	0.632068	0.557598	0.512396	0.428777	0.531004	0.427187	0.469114	0.545355	0.566314	0.537816	0.494290	0.394674	0.572705	0.371461	0.561043	0.481447	0.554585	0.492215	0.464628	0.449314	0.326682	0.631900	0.678725	0.546154	0.548771	0.677012	0.549171	0.399673	0.487737	0.523840	0.505205	0.437252	0.605049	0.561220	0.566088	0.552463	0.477900	0.378089	0.549100	0.612971	0.623737	0.607538	0.674569	0.600440	0.642998	0.578503	0.528923	0.476267	0.521196	0.521344	0.429924	0.622209	0.450974	0.382571	0.594282	0.561498	0.764984	0.548352	0.434041	0.333132	0.520320	0.592665	0.506175	0.551742	0.521018	0.531460	0.499661	0.596642	0.431385	0.745757	0.463546	0.626977	0.486811	0.374037	0.562657	0.510918	0.396185	0.592142	0.550480	0.613756	0.446713	0.370940	0.437926	0.460377	0.506648	0.539911	0.615561	0.573830	0.458279
sp_0030	0.518195	0.618741	0.485673	0.537029	0.486607	0.622952	0.447335	0.404003	0.543916	0.381187	0.476103	0.367987	0.420509	0.682407	0.506577	0.510730	0.593417	0.523206	0.587000	0.608298	0.514150	0.501052	0.477963	0.491649	0.635437	0.619311	0.543889	0.568461	0.514174	0.436193	0.000000	0.611204	0.526740	0.578144	0.649705	0.439229	0.580007	0.722178	0.397131	0.493842	0.569328	0.488102	0.642616	0.446055	0.359683	0.566789	0.746363	0.597327	0.610512	0.588276	0.593326	0.675384	0.551500	0.493289	0.559314	0.611674	0.412117	0.414567	0.569641	0.505927	0.505995	0.413568	0.601398	0.505928	0.582681	0.737428	0.630785	0.566648	0.518838	0.341415	0.546514	0.654001	0.484392	0.593277	0.546509	0.531097	0.614012	0.458300	0.399388	0.717404	0.555425	0.598733	0.587796	0.494130	0.555486	0.562232	0.408754	0.475629	0.574805	0.455451	0.443781	0.618409	0.562063	0.409707	0.391647	0.734811	0.624075	0.529993	0.502620	0.561030	0.664202	0.455907	0.385661	0.516638	0.427152	0.513971	0.486862	0.588498	0.607763	0.476935	0.411052	0.498541	0.571075	0.695770	0.634674	0.540266	0.702766	0.344260	0.434687	0.353701	0.531338	0.583517	0.628993	0.587394	0.471065	0.633008	0.506136	0.535479	0.557146	0.567113	0.611103	0.611402	0.633552	0.627139	0.636896	0.522194	0.712887	0.466997	0.477923	0.581623	0.690131	0.431772	0.549597	0.584528	0.528305	0.473238	0.693880	0.713535	0.671638	0.574495	0.503203	0.444025	0.529535	0.334936	0.580177	0.596864	0.576337	0.493909	0.689291	0.539988	0.570410	0.544938	0.705148	0.417573	0.427701	0.497362	0.644906	0.467891	0.657961	0.397174	0.456096	0.420088	0.538318	0.519438	0.471822	0.481878	0.606490	0.597601	0.659830	0.538520
sp_0031	0.442307	0.530977	0.458533	0.542885	0.534014	0.613335	0.523574	0.620981	0.447067	0.494258	0.695264	0.524145	0.619630	0.618233	0.447932	0.762519	0.583202	0.353398	0.521646	0.497867	0.517946	0.517878	0.562393	0.436442	0.657838	0.589786	0.481518	0.476876	0.442821	0.533089	0.611204	0.000000	0.530792	0.474589	0.717127	0.467980	0.649536	0.543181	0.573582	0.597033	0.568436	0.495792	0.655293	0.641078	0.491945	0.562142	0.805252	0.437652	0.667876	0.653330	0.493588	0.417867	0.529858	0.506894	0.457432	0.496524	0.435799	0.624100	0.353458	0.627461	0.685184	0.439632	0.656304	0.706523	0.573810	0.682639	0.596152	0.506375	0.564091	0.459451	0.589534	0.558470	0.702347	0.541154	0.485089	0.553250	0.576123	0.405994	0.574421	0.664538	0.686943	0.600974	0.549694	0.583140	0.540115	0.337650	0.500354	0.758245	0.546289	0.587898	0.519972	0.539009	0.627532	0.585485	0.539233	0.744495	0.548519	0.534515	0.463137	0.430359	0.699699	0.543916	0.469466	0.640876	0.556045	0.509657	0.442170	0.407618	0.603705	0.556516	0.556420	0.644561	0.591331	0.663341	0.553329	0.478417	0.664085	0.582812	0.462165	0.624067	0.565918	0.489531	0.396142	0.570447	0.649147	0.534866	0.604218	0.482704	0.586081	0.542429	0.596641	0.609127	0.333022	0.569556	0.439361	0.500340	0.462055	0.521946	0.538835	0.513993	0.626393	0.522018	0.688972	0.738038	0.568263	0.416430	0.638540	0.792808	0.560207	0.496303	0.465004	0.512538	0.591653	0.593610	0.401995	0.754072	0.632981	0.584223	0.597790	0.363739	0.648702	0.467900	0.666310	0.637916	0.360688	0.535253	0.541842	0.570235	0.384042	0.455349	0.667121	0.449441	0.694229	0.392007	0.684878	0.579584	0.646218	0.512011	0.558018	0.666641
sp_0032	0.358021	0.407982	0.359545	0.419030	0.312990	0.592262	0.416279	0.423954	0.498714	0.523929	0.611191	0.470619	0.473598	0.527790	0.294763	0.584560	0.291635	0.577791	0.395947	0.386480	0.372899	0.407294	0.210123	0.403080	0.453650	0.418428	0.599968	0.545560	0.274444	0.396090	0.526740	0.530792	0.000000	0.399374	0.621242	0.427633	0.516050	0.582233	0.480055	0.491406	0.327630	0.406020	0.346674	0.502346	0.313880	0.496857	0.502519	0.456130	0.427829	0.431081	0.403867	0.491607	0.418401	0.414336	0.361141	0.597120	0.436468	0.422509	0.346236	0.558634	0.498551	0.414527	0.594069	0.612217	0.522356	0.702112	0.452966	0.580448	0.430515	0.384421	0.409391	0.443818	0.584171	0.475248	0.453068	0.407210	0.366026	0.499190	0.398674	0.623811	0.558186	0.438206	0.368477	0.471801	0.481290	0.499868	0.322661	0.498623	0.576879	0.615938	0.468277	0.636892	0.582592	0.503617	0.404196	0.409543	0.402745	0.478648	0.519340	0.463306	0.553496	0.452184	0.479988	0.601195	0.397479	0.514476	0.424156	0.445553	0.486344	0.437084	0.459173	0.475781	0.512317	0.542093	0.498916	0.455680	0.648113	0.545624	0.439472	0.477683	0.406306	0.501056	0.424409	0.542199	0.560979	0.414263	0.565480	0.294424	0.389617	0.590568	0.379096	0.560850	0.499893	0.662268	0.488549	0.651520	0.565759	0.417115	0.461669	0.432410	0.516643	0.480590	0.540948	0.502790	0.421120	0.593569	0.549060	0.713880	0.495172	0.392982	0.328667	0.450506	0.556003	0.452680	0.461536	0.551042	0.511002	0.440670	0.566496	0.351337	0.674868	0.364305	0.415406	0.479661	0.353116	0.438171	0.452867	0.415912	0.555039	0.529199	0.573238	0.390581	0.410764	0.354577	0.432291	0.389177	0.472111	0.629219	0.517263	0.517827
sp_0033	0.260529	0.411448	0.357209	0.432160	0.331069	0.568340	0.315053	0.443071	0.558188	0.487346	0.479687	0.457110	0.516264	0.477199	0.398759	0.521690	0.327620	0.453623	0.358738	0.409935	0.436866	0.253987	0.456830	0.387644	0.592907	0.376236	0.439564	0.383392	0.399829	0.535793	0.578144	0.474589	0.399374	0.000000	0.581488	0.494131	0.482974	0.437391	0.505985	0.554110	0.369722	0.423128	0.460701	0.398354	0.314588	0.465514	0.594352	0.470498	0.450009	0.408185	0.264985	0.518299	0.489432	0.404242	0.379418	0.532995	0.514164	0.392638	0.308626	0.497076	0.712819	0.430577	0.473985	0.549779	0.542706	0.495966	0.510778	0.600025	0.280395	0.348488	0.367496	0.345040	0.441204	0.399765	0.561569	0.480927	0.472512	0.579206	0.414757	0.713728	0.652856	0.516188	0.585841	0.334864	0.512262	0.339001	0.390844	0.505961	0.541362	0.631810	0.388407	0.434961	0.423743	0.450623	0.376089	0.584017	0.396241	0.447886	0.415860	0.462937	0.446616	0.359416	0.374881	0.477236	0.386203	0.489548	0.357189	0.347818	0.481243	0.411364	0.461519	0.589696	0.403053	0.651040	0.402062	0.437230	0.484424	0.521710	0.365434	0.416739	0.481379	0.331488	0.321231	0.409114	0.430591	0.413362	0.587855	0.307737	0.487440	0.488219	0.508351	0.363960	0.445886	0.445661	0.476960	0.522541	0.369184	0.483645	0.402672	0.491466	0.424198	0.376900	0.573672	0.505301	0.421948	0.428314	0.562789	0.541283	0.368757	0.323910	0.310475	0.442742	0.444830	0.433020	0.421145	0.598052	0.394229	0.450924	0.555055	0.251914	0.421068	0.573094	0.446813	0.448350	0.292266	0.500212	0.380586	0.371084	0.454667	0.332722	0.449422	0.330213	0.587044	0.286762	0.500208	0.376858	0.525681	0.525608	0.220943	0.568144
sp_0034	0.487337	0.673153	0.532159	0.590296	0.497771	0.647461	0.507041	0.474394	0.607138	0.535909	0.433609	0.662233	0.564024	0.540147	0.643211	0.660131	0.484809	0.760819	0.604446	0.656131	0.442763	0.514900	0.665359	0.524029	0.615793	0.568277	0.626348	0.569908	0.639190	0.588449	0.649705	0.717127	0.621242	0.581488	0.000000	0.474780	0.521646	0.520233	0.535955	0.687540	0.535578	0.469481	0.685849	0.479068	0.420216	0.701761	0.554966	0.529549	0.491167	0.598984	0.672979	0.638919	0.644833	0.625041	0.620164	0.779153	0.666133	0.488145	0.625765	0.791877	0.638017	0.523702	0.634616	0.630193	0.772470	0.650070	0.623183	0.797342	0.430173	0.509654	0.618272	0.618318	0.594049	0.565909	0.590194	0.522651	0.584048	0.749919	0.459103	0.501814	0.647717	0.562626	0.676638	0.503343	0.562933	0.610160	0.577338	0.533844	0.843058	0.596578	0.581686	0.602614	0.478435	0.587416	0.557612	0.682528	0.464086	0.410709	0.592009	0.730945	0.380707	0.432235	0.450201	0.432263	0.607618	0.731530	0.560845	0.522614	0.617260	0.700212	0.602652	0.576829	0.685413	0.634783	0.648313	0.658967	0.764428	0.633341	0.530749	0.435660	0.589051	0.690134	0.506734	0.563493	0.558328	0.543882	0.788732	0.542802	0.476202	0.571313	0.696369	0.550452	0.637392	0.497872	0.618947	0.748716	0.672400	0.532246	0.493968	0.566812	0.509378	0.522460	0.625605	0.507516	0.466028	0.566922	0.776074	0.786389	0.482102	0.529423	0.589807	0.669336	0.620053	0.540933	0.611482	0.615844	0.584025	0.538453	0.661379	0.610729	0.673483	0.680721	0.528058	0.684317	0.568277	0.512494	0.535041	0.525699	0.729807	0.576695	0.552362	0.497060	0.514566	0.594685	0.639633	0.438012	0.463376	0.660185	0.677279	0.646107
sp_0035	0.355743	0.500740	0.286375	0.471255	0.377318	0.544609	0.390879	0.377508	0.367925	0.455281	0.514141	0.374375	0.350669	0.531851	0.467534	0.540521	0.385042	0.468987	0.505705	0.402208	0.375363	0.467873	0.500893	0.452215	0.489909	0.592442	0.510895	0.549585	0.395782	0.291041	0.439229	0.467980	0.427633	0.494131	0.474780	0.000000	0.393083	0.489209	0.463819	0.551230	0.431904	0.274609	0.542801	0.495070	0.335052	0.557816	0.555478	0.418352	0.395337	0.569255	0.465306	0.460581	0.498806	0.426014	0.478946	0.546772	0.466141	0.334410	0.395273	0.625074	0.474323	0.290133	0.513647	0.458224	0.480371	0.581230	0.463721	0.553508	0.465956	0.272920	0.508245	0.580828	0.586814	0.349269	0.397816	0.344608	0.451334	0.406549	0.358455	0.477559	0.480567	0.419833	0.494858	0.413566	0.353364	0.436214	0.415417	0.500535	0.470683	0.570145	0.339777	0.478055	0.504321	0.470491	0.415594	0.545460	0.455522	0.307137	0.501387	0.474515	0.512448	0.437109	0.311921	0.476246	0.429636	0.487267	0.416404	0.427473	0.493136	0.452747	0.429659	0.292053	0.512503	0.560164	0.524175	0.445336	0.651278	0.409754	0.289194	0.427939	0.487475	0.552555	0.393181	0.478734	0.448991	0.424103	0.503358	0.449900	0.326041	0.445911	0.513500	0.514944	0.463781	0.568311	0.456829	0.491989	0.511399	0.379162	0.382901	0.476601	0.546401	0.308550	0.560632	0.409690	0.368114	0.486448	0.469358	0.735428	0.390431	0.384899	0.416294	0.441041	0.464165	0.429178	0.455110	0.502048	0.539859	0.462306	0.679069	0.394885	0.659949	0.368886	0.578216	0.425401	0.358915	0.470814	0.342491	0.352689	0.488576	0.474676	0.533839	0.433919	0.436104	0.387874	0.426635	0.457364	0.468356	0.424255	0.579858	0.451981
sp_0036	0.433833	0.344804	0.351086	0.554358	0.395847	0.655587	0.519174	0.510012	0.523478	0.533898	0.577738	0.503326	0.252932	0.425442	0.553618	0.495486	0.339267	0.547997	0.464932	0.417047	0.434705	0.521410	0.577902	0.542136	0.536464	0.564443	0.489348	0.613147	0.524556	0.470427	0.580007	0.649536	0.516050	0.482974	0.521646	0.393083	0.000000	0.509638	0.467937	0.625282	0.449583	0.296776	0.530755	0.543049	0.402566	0.576984	0.498962	0.518847	0.295678	0.568319	0.463885	0.510273	0.479201	0.431170	0.571815	0.525228	0.686354	0.285220	0.403411	0.553267	0.556165	0.462321	0.396681	0.540397	0.571771	0.611696	0.525335	0.587553	0.472148	0.367936	0.502284	0.480554	0.507919	0.363077	0.670184	0.459036	0.479663	0.664244	0.449746	0.515010	0.480639	0.553887	0.716495	0.456610	0.517812	0.435946	0.512120	0.457476	0.591126	0.681498	0.395091	0.486973	0.435648	0.510413	0.322676	0.539095	0.395530	0.383939	0.477277	0.455012	0.523384	0.541167	0.417552	0.445040	0.452162	0.453548	0.431868	0.459397	0.519258	0.496614	0.468324	0.440494	0.504779	0.830023	0.574400	0.461205	0.491814	0.554289	0.319195	0.471889	0.418783	0.597179	0.429308	0.400059	0.500775	0.482565	0.505692	0.547424	0.384305	0.433175	0.556022	0.480202	0.532544	0.545294	0.508603	0.570829	0.482831	0.490035	0.449159	0.501826	0.409433	0.448869	0.523364	0.314287	0.343706	0.554357	0.377307	0.497527	0.399527	0.365679	0.420049	0.507378	0.549989	0.521319	0.544469	0.437301	0.554688	0.535098	0.660999	0.549373	0.713599	0.635073	0.592892	0.492108	0.523063	0.463945	0.364461	0.314039	0.498772	0.501519	0.516391	0.529536	0.424554	0.556037	0.468061	0.526189	0.542995	0.585044	0.483014	0.322863
sp_0037	0.479652	0.499131	0.370760	0.511816	0.449311	0.402031	0.475385	0.569311	0.655054	0.487647	0.570440	0.658515	0.573835	0.570907	0.543582	0.618590	0.453892	0.546571	0.456992	0.492080	0.526286	0.470661	0.624638	0.489231	0.628199	0.583835	0.430894	0.599837	0.553192	0.660233	0.722178	0.543181	0.582233	0.437391	0.520233	0.489209	0.509638	0.000000	0.543822	0.708196	0.457494	0.397388	0.643959	0.485873	0.454606	0.634903	0.588115	0.479661	0.393065	0.541556	0.420835	0.515762	0.613910	0.577071	0.526185	0.570364	0.601809	0.557974	0.452864	0.693388	0.805439	0.471617	0.438562	0.708074	0.713530	0.644612	0.374611	0.705944	0.467966	0.500135	0.422077	0.557917	0.708549	0.567125	0.637754	0.513053	0.385267	0.641480	0.499361	0.573590	0.652035	0.525658	0.656700	0.364837	0.553909	0.361760	0.510935	0.592204	0.624558	0.651585	0.524171	0.434527	0.550492	0.537958	0.523920	0.576427	0.464490	0.494163	0.487692	0.568510	0.538510	0.459498	0.542094	0.468366	0.609213	0.550047	0.492253	0.386971	0.583220	0.579867	0.487180	0.605607	0.545598	0.720180	0.433803	0.428114	0.591527	0.619457	0.466057	0.566363	0.541455	0.562733	0.456839	0.282187	0.518672	0.366598	0.740427	0.492031	0.507657	0.359710	0.678929	0.511902	0.382083	0.562939	0.337337	0.641794	0.423023	0.532730	0.417658	0.653838	0.545746	0.424135	0.564025	0.545697	0.526367	0.528875	0.577566	0.764121	0.325806	0.404680	0.567905	0.586674	0.441139	0.523149	0.538374	0.788469	0.615054	0.655708	0.787367	0.481967	0.587316	0.585084	0.534410	0.542076	0.558159	0.514015	0.339535	0.468444	0.501472	0.508738	0.519758	0.580189	0.653679	0.507362	0.682746	0.522896	0.551055	0.430629	0.538085	0.641347
sp_0038	0.488824	0.442074	0.465539	0.394249	0.423645	0.473022	0.507076	0.419345	0.575397	0.268637	0.456506	0.516130	0.368851	0.586792	0.436609	0.546774	0.486432	0.516887	0.436355	0.574857	0.408755	0.420974	0.391447	0.388323	0.533735	0.441144	0.447425	0.544386	0.458210	0.542081	0.397131	0.573582	0.480055	0.505985	0.535955	0.463819	0.467937	0.543822	0.000000	0.508952	0.488163	0.362271	0.505105	0.340234	0.293092	0.562201	0.584583	0.451873	0.454090	0.425753	0.572413	0.576578	0.396387	0.497985	0.522752	0.564138	0.482175	0.436393	0.488039	0.543145	0.526577	0.377914	0.441488	0.622612	0.603800	0.771607	0.484918	0.537915	0.430683	0.356535	0.435392	0.465447	0.460296	0.592506	0.534329	0.564084	0.487873	0.612123	0.360935	0.647655	0.407783	0.467244	0.555459	0.474255	0.634921	0.414448	0.351125	0.444535	0.615620	0.438917	0.464307	0.565385	0.538542	0.401067	0.343663	0.634673	0.477398	0.413147	0.446432	0.422421	0.603985	0.436036	0.453578	0.448706	0.537404	0.476807	0.399783	0.366077	0.575226	0.548458	0.407197	0.560752	0.587401	0.683652	0.604106	0.469937	0.628576	0.424716	0.395478	0.395021	0.353795	0.616121	0.529323	0.409173	0.529848	0.478233	0.583775	0.429572	0.545078	0.394307	0.557477	0.431779	0.491983	0.523060	0.456446	0.585052	0.629199	0.397674	0.441276	0.468239	0.589155	0.465399	0.378366	0.579791	0.437653	0.368920	0.572576	0.593602	0.599385	0.418867	0.491988	0.459331	0.545634	0.429770	0.441758	0.622572	0.611705	0.528059	0.618371	0.524893	0.546230	0.582046	0.484288	0.529949	0.485914	0.235367	0.579518	0.389904	0.560133	0.331238	0.485131	0.435619	0.436456	0.547388	0.477224	0.479586	0.472060	0.642897	0.580472	0.441174
sp_0039	0.402998	0.599638	0.495316	0.444361	0.505363	0.599482	0.452538	0.376869	0.542839	0.483461	0.581684	0.519861	0.503891	0.457986	0.449190	0.473957	0.550270	0.571417	0.663616	0.585310	0.439610	0.632510	0.403125	0.464921	0.343760	0.607448	0.534401	0.405219	0.550454	0.584660	0.493842	0.597033	0.491406	0.554110	0.687540	0.551230	0.625282	0.708196	0.508952	0.000000	0.487329	0.466038	0.719740	0.513049	0.450372	0.620467	0.753682	0.455304	0.574575	0.593398	0.634457	0.673214	0.545532	0.338521	0.530916	0.533177	0.482660	0.515634	0.524636	0.479191	0.464579	0.465158	0.697779	0.651524	0.514854	0.778764	0.598165	0.335875	0.628673	0.510469	0.637708	0.559308	0.589280	0.574965	0.556820	0.607780	0.575101	0.578752	0.424749	0.754524	0.420537	0.507005	0.694759	0.530503	0.516559	0.517874	0.509205	0.636722	0.707741	0.658327	0.607674	0.555292	0.743894	0.361135	0.495021	0.617195	0.608255	0.456972	0.452101	0.598230	0.692404	0.450783	0.458063	0.525215	0.530103	0.508702	0.445141	0.554650	0.747615	0.641182	0.441562	0.694500	0.474114	0.676576	0.698567	0.407989	0.603374	0.529526	0.471773	0.507496	0.393661	0.503008	0.549286	0.560141	0.501537	0.512630	0.400306	0.419484	0.477081	0.690558	0.482874	0.659999	0.522882	0.525975	0.505645	0.485359	0.635532	0.401900	0.438453	0.396009	0.683796	0.495485	0.547156	0.711591	0.427689	0.525430	0.748104	0.761690	0.657272	0.635692	0.574590	0.515069	0.524994	0.453081	0.438098	0.542113	0.503958	0.454664	0.634527	0.523799	0.696938	0.577802	0.657684	0.543926	0.426078	0.433389	0.655922	0.472948	0.613856	0.474677	0.516724	0.448619	0.555930	0.579163	0.516716	0.416426	0.456850	0.629891	0.663220	0.509846
sp_0040	0.302100	0.460516	0.280797	0.505990	0.264902	0.526714	0.287658	0.409410	0.529992	0.481682	0.552138	0.518057	0.387510	0.398412	0.414147	0.534540	0.265056	0.515023	0.481808	0.353837	0.392694	0.459576	0.373106	0.344439	0.449351	0.458545	0.483912	0.457864	0.457388	0.538627	0.569328	0.568436	0.327630	0.369722	0.535578	0.431904	0.449583	0.457494	0.488163	0.487329	0.000000	0.298043	0.519227	0.432177	0.311658	0.434725	0.423944	0.357792	0.336327	0.330166	0.414841	0.467295	0.481796	0.471101	0.367614	0.588282	0.524292	0.384910	0.330558	0.487675	0.600041	0.452396	0.417057	0.542883	0.544015	0.652644	0.316352	0.578969	0.453052	0.352777	0.453944	0.379922	0.619880	0.417636	0.583711	0.448899	0.302553	0.581321	0.369283	0.566183	0.488772	0.365138	0.547024	0.382253	0.362873	0.454457	0.405105	0.354105	0.570282	0.684650	0.549623	0.503046	0.482208	0.495941	0.346030	0.475975	0.428916	0.428102	0.401812	0.449866	0.541110	0.458208	0.449672	0.522388	0.456479	0.481299	0.316963	0.380211	0.532978	0.436813	0.424626	0.537767	0.308519	0.589633	0.470223	0.379312	0.588635	0.463700	0.407562	0.390939	0.403607	0.525837	0.399093	0.444715	0.508407	0.306739	0.500488	0.361694	0.338610	0.589581	0.356993	0.531898	0.439418	0.546235	0.386572	0.550432	0.452992	0.277889	0.352597	0.455836	0.437260	0.428473	0.544384	0.411419	0.420808	0.572508	0.566671	0.641566	0.400450	0.411105	0.404662	0.328693	0.376344	0.362315	0.453388	0.505873	0.566186	0.318156	0.596782	0.445045	0.579482	0.411089	0.412212	0.449251	0.418927	0.394629	0.319680	0.424918	0.442123	0.490719	0.493249	0.365825	0.489574	0.378657	0.450447	0.303476	0.461376	0.517406	0.504562	0.572445
sp_0041	0.309313	0.401799	0.235457	0.391336	0.258074	0.493301	0.360774	0.362594	0.476564	0.412530	0.470474	0.411782	0.236960	0.384392	0.420653	0.445937	0.293873	0.409627	0.481339	0.310413	0.334599	0.451387	0.415060	0.321088	0.422118	0.464121	0.368808	0.459900	0.393270	0.418950	0.488102	0.495792	0.406020	0.423128	0.469481	0.274609	0.296776	0.397388	0.362271	0.466038	0.298043	0.000000	0.510539	0.400616	0.276506	0.476785	0.442649	0.302905	0.281425	0.425067	0.427226	0.374179	0.365772	0.396835	0.409892	0.473395	0.534329	0.291222	0.304735	0.478777	0.513288	0.328675	0.352794	0.461348	0.434186	0.656356	0.304337	0.475499	0.463774	0.270241	0.437646	0.446878	0.558050	0.335882	0.529151	0.381213	0.305656	0.505005	0.271216	0.461473	0.339113	0.317628	0.595741	0.353284	0.399073	0.336435	0.345558	0.416777	0.520766	0.612294	0.403568	0.394280	0.488881	0.382978	0.284828	0.444155	0.348426	0.270814	0.344672	0.394351	0.505396	0.428420	0.370402	0.403516	0.454941	0.416738	0.265628	0.298116	0.506461	0.464946	0.306496	0.443280	0.413413	0.655110	0.484407	0.320041	0.526202	0.417641	0.245500	0.395366	0.313501	0.499437	0.324768	0.322527	0.462976	0.296944	0.427300	0.377433	0.289475	0.399280	0.481155	0.458356	0.382332	0.485197	0.292208	0.484621	0.380420	0.276193	0.252642	0.408625	0.422142	0.309302	0.439583	0.374488	0.256329	0.467055	0.429874	0.605818	0.400087	0.316229	0.384459	0.342626	0.354947	0.394855	0.382410	0.480030	0.556690	0.397306	0.602934	0.433555	0.604514	0.450608	0.458712	0.416561	0.407494	0.323533	0.323444	0.264022	0.362443	0.407973	0.489727	0.403664	0.356563	0.432402	0.397158	0.402810	0.369962	0.475540	0.492271	0.372742
